,frame_id,time,data,dlc,flags,msg_name,msg_comment,signals
594,37,4521,bytearray(b'\x0f\xfc \x03\xf0)\x00t'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
595,37,4531,bytearray(b'\x0f\xfc \x030!\x00\xac'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
596,705,4538,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
597,37,4541,bytearray(b'\x0f\xfd \x03\x902\x00\x1e'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
598,37,4551,bytearray(b'\x0f\xfd \x03\xd0&\x00R'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
599,37,4561,bytearray(b'\x0f\xfd \x03\x102\x00\x9e'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
600,705,4570,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
601,37,4571,bytearray(b'\x0f\xfd \x03`2\x00\xee'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
602,37,4581,bytearray(b'\x0f\xfe \x03\xb0-\x00:'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -3.0, 'deg']]"
603,37,4591,bytearray(b'\x0f\xfe \x03\x002\x00\x8f'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -3.0, 'deg']]"
604,37,4601,bytearray(b'\x0f\xfe \x03@)\x00\xc6'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -3.0, 'deg']]"
605,705,4601,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
606,37,4611,bytearray(b'\x0f\xff \x03\xa02\x000'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
607,37,4621,bytearray(b'\x0f\xff \x03\xf02\x00\x80'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
608,37,4631,bytearray(b'\x0f\xff \x030-\x00\xbb'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
609,705,4633,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
610,37,4641,bytearray(b'\x0f\xff \x03p)\x00\xf7'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
611,37,4651,bytearray(b'\x00\x00 \x03\xd02\x00R'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
612,37,4661,bytearray(b'\x00\x00 \x03\x10-\x00\x8d'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
613,705,4665,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
614,37,4671,bytearray(b'\x00\x00 \x03`2\x00\xe2'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
615,37,4681,bytearray(b'\x00\x01 \x03\xb0-\x00.'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
616,37,4691,bytearray(b'\x00\x01 \x03\xf0)\x00j'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
617,705,4697,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
618,37,4701,bytearray(b'\x00\x01 \x0302\x00\xb3'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
619,37,4711,bytearray(b'\x00\x02 \x03\x902\x00\x14'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
620,37,4721,bytearray(b'\x00\x02 \x03\xd02\x00T'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
621,705,4728,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
622,37,4731,bytearray(b'\x00\x02 \x03\x10&\x00\x88'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
623,37,4741,bytearray(b'\x00\x02 \x03P&\x00\xc8'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
624,37,4751,bytearray(b'\x00\x03 \x03\xa0&\x00\x19'),8,2,STR1S01,,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
625,705,4761,bytearray(b'\x08\x02\xab\xfc`\xff\x00\xdb'),8,2,ENG1S01,,"[['EACCP', 0.0, '%']]"
