,time,frame_id,msg_name,signals
679,4469,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.25390625, 'km/h']]"
680,4474,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -462.0, 'deg']]"
681,4475,705,ENG1S01,"[['EACCP', 0.0, '%']]"
682,4485,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -462.0, 'deg']]"
683,4493,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -463.5, 'deg']]"
684,4504,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -463.5, 'deg']]"
685,4507,705,ENG1S01,"[['EACCP', 0.0, '%']]"
686,4514,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -463.5, 'deg']]"
687,4517,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.36328125, 'km/h']]"
688,4524,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -465.0, 'deg']]"
689,4534,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -465.0, 'deg']]"
690,4538,705,ENG1S01,"[['EACCP', 0.0, '%']]"
691,4544,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -465.0, 'deg']]"
692,4553,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
693,4564,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
694,4565,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.57421875, 'km/h']]"
695,4570,705,ENG1S01,"[['EACCP', 0.0, '%']]"
696,4574,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
697,4584,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -466.5, 'deg']]"
698,4594,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -468.0, 'deg']]"
699,4602,705,ENG1S01,"[['EACCP', 0.0, '%']]"
700,4604,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -468.0, 'deg']]"
701,4613,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.57421875, 'km/h']]"
702,4614,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -468.0, 'deg']]"
703,4624,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
704,4634,705,ENG1S01,"[['EACCP', 0.0, '%']]"
705,4634,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
706,4644,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
707,4654,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -469.5, 'deg']]"
708,4661,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.734375, 'km/h']]"
709,4664,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
710,4665,705,ENG1S01,"[['EACCP', 0.5, '%']]"
711,4674,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
712,4684,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
713,4694,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
714,4697,705,ENG1S01,"[['EACCP', 1.5, '%']]"
715,4704,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
716,4709,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.85546875, 'km/h']]"
717,4714,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -471.0, 'deg']]"
718,4724,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
719,4729,705,ENG1S01,"[['EACCP', 3.0, '%']]"
720,4734,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
721,4744,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
722,4754,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
723,4757,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 5.9453125, 'km/h']]"
724,4760,705,ENG1S01,"[['EACCP', 3.5, '%']]"
725,4764,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
726,4774,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -472.5, 'deg']]"
727,4784,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
728,4792,705,ENG1S01,"[['EACCP', 4.5, '%']]"
729,4794,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
730,4804,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
731,4806,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.12109375, 'km/h']]"
732,4814,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
733,4824,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
734,4825,705,ENG1S01,"[['EACCP', 6.0, '%']]"
735,4834,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
736,4844,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
737,4854,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.25390625, 'km/h']]"
738,4854,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
739,4856,705,ENG1S01,"[['EACCP', 7.0, '%']]"
740,4864,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
741,4874,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
742,4884,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -474.0, 'deg']]"
743,4887,705,ENG1S01,"[['EACCP', 7.0, '%']]"
744,4894,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
745,4902,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 6.3515625, 'km/h']]"
746,4904,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
747,4914,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
748,4919,705,ENG1S01,"[['EACCP', 7.5, '%']]"
749,4924,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
750,4934,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
751,4944,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -475.5, 'deg']]"
